"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017"
6179,3/31/2023 0:00:00,2750,0,0,194214,0,1,0,872933,0,0,0,0,0,0,0,0,0,0,0,0,2446453,4587763,2965796,1914053,1238578,13152643,1395000,3089000,249000,249000,0,4982000,0,-1351357,0,8126,0,0,0,8126,0,0,0,0,0,34174179,0,0,0,0,0,0,0,0,Fiscal Year 2022,37381,37429395,0,0,0,0,0,0,0,0,0,0,0,6252,0,0,0,0,0,0,0,0,0
6184,3/31/2023 0:00:00,2751,0,0,3632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,347000,0,0,0,1547000,0,0,0,0,0,0,0,0,0,0,0,0,0,3213082,0,0,0,0,0,0,0,0,,0,3604060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6187,3/31/2023 0:00:00,2752,0,0,2592721,680237,1,0,413478,47853,0,0,0,0,47853,0,0,0,0,0,0,9786,0,0,0,0,9786,2243000,4728000,1684000,248000,0,8903000,0,33,0,32671,0,0,0,32671,0,0,0,0,0,93262245,0,0,0,0,0,0,0,0,Fiscal Year 2022,99367,102103139,0,0,0,0,0,0,0,0,0,0,0,173858,0,0,0,0,0,0,0,0,0
6196,3/31/2023 0:00:00,2757,0,0,218643,0,1,0,35786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3540,0,0,0,3540,0,0,0,0,0,11510657,0,0,0,0,0,0,0,0,01/01/2023,0,12801342,0,0,0,0,0,0,0,0,0,0,0,3327,0,0,0,0,0,0,0,0,0
6208,3/31/2023 0:00:00,2765,0,0,340028,0,1,0,95959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38173672,0,0,0,0,0,0,0,0,01/01/2023,0,42664293,0,0,0,0,0,0,0,0,0,0,0,45098,0,0,0,0,0,0,0,0,0
6214,3/31/2023 0:00:00,2769,0,0,425042,0,1,0,243209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,1483539,3065078,1625464,0,6174210,0,0,0,0,0,0,0,0,0,0,0,0,0,47187088,0,0,0,0,0,0,0,0,01/01/2023,0,54870684,0,0,0,0,0,0,0,0,0,0,0,37394,0,0,0,0,0,0,0,0,0
6225,3/31/2023 0:00:00,2773,0,0,355583,0,1,0,56978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5730000,12608000,8873000,0,0,27211000,0,0,0,0,0,0,0,0,0,0,0,0,80446,31708943,0,0,0,0,0,0,0,0,03/01/2023,80446,35822580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6233,3/31/2023 0:00:00,2778,0,0,1639032,0,1,0,1435899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6512000,11649000,0,0,0,18161000,0,0,0,132000,0,0,0,132000,0,0,0,0,11540,287904605,0,0,0,0,0,0,0,0,Fiscal Year 2023,257806,322692638,0,0,0,0,0,0,0,0,0,0,0,386936,0,0,0,0,0,0,0,0,0
6237,3/31/2023 0:00:00,2781,0,0,50207,0,1,0,12872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1170000,7402000,400014,0,0,8972014,0,0,0,2874,0,0,0,2874,0,0,0,0,0,13187216,0,0,0,0,0,0,0,0,01/01/2023,0,14214103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6240,3/31/2023 0:00:00,2783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2571790,0,0,0,0,0,0,0,0,,0,3628791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
